variation,normal
EAST,easting
East,easting
east,easting
Easting,easting
EASTING,easting
X,easting
x,easting
NORTH,northing
North,northing
north,northing
Northing,northing
NORTHING,northing
Y,northing
y,northing
LONGITUDE,long
Longitude,long
LONG,long
Long,long
LATITUDE,lat
Latitude,lat
LAT,lat
Lat,lat
GPSALT,gpsalt
DATE,date
FLIGHT,flight
FLIGHT,flight
AIRCRAFT,aircraft
Line,line
LINE,line
LINETYPE,linetype
LINENAME,linename
FIDCOUNT,fidcount
UTCTIME,utctime
LOCALTIME,localtime
SURFACE,surface
RALT,ralt
LALT,lalt
DEMIFSAR,dtm
DEM,dtm
DTM,dtm
BALT,birdalt
DIURNRAW,diurnalraw
Diurnal,diurnal
DIURNAL,diurnal
DIUR2RAW,diurnalraw2
DIURNAL2,diurnal2
FLUXLONG,fluxlong
FLUXTRAN,fluxtran
FLUXVERT,fluxvert
MAGUNCOM,maguncom
MAGCOM,magcom
MAGRAW,magraw
DIURNCOR,diurnalcor
MAGDIURN,magdiurnal
ALTCOR,altcor
MAGALT,magalt
MAGTLCOR,magtlcor
MAGTL,magtl
MICCOR,miccor
SRVMGLEV,srvmglev
IGRF,igrf
SRVMGRES,srvmgres
C1VDMAG,c1vdmag
C2VDMAG,c2vdmag
RESIDUAL,residual
Residual,residual
